,RMSE
"(0, 0, 0)",133.3132122292401
"(0, 0, 1)",133.10264805192847
"(0, 0, 2)",132.2070590144805
"(0, 0, 3)",131.92532348282901
"(0, 0, 4)",128.833656101634
"(0, 0, 5)",130.3366764508131
"(0, 0, 6)",132.31930627811192
"(0, 0, 7)",132.0837749535888
"(0, 1, 0)",123.0623825545402
"(0, 1, 1)",122.80881158878678
"(0, 1, 2)",124.4845527524326
"(0, 1, 3)",125.12555841384305
"(0, 1, 4)",125.30970580439195
"(0, 1, 5)",125.31963770158784
"(0, 1, 6)",125.02043920499095
"(0, 1, 7)",124.91397867266096
"(1, 0, 0)",131.29533094134848
"(1, 0, 1)",128.48348240908493
"(1, 0, 2)",126.95439273508835
"(1, 0, 3)",124.42760219689346
"(1, 0, 4)",124.37512224845285
"(1, 0, 5)",124.50421185127855
"(1, 0, 6)",124.07235612608274
"(1, 0, 7)",123.11286418525772
"(1, 1, 0)",122.20366470849481
"(1, 1, 1)",125.06196109597067
"(1, 1, 2)",125.21460322409715
"(1, 1, 3)",125.26070181006197
"(1, 1, 4)",125.32060992122419
"(1, 1, 5)",125.39444632911639
"(1, 1, 6)",124.87504096658141
"(1, 1, 7)",125.08805259210841
"(2, 0, 0)",129.64027606912848
"(2, 0, 1)",125.76573523639524
"(2, 0, 2)",124.35660953421021
"(2, 0, 3)",124.36680536266833
"(2, 0, 4)",124.46091296402408
"(2, 0, 5)",124.2640743280153
"(2, 0, 6)",126.71600594329404
"(2, 0, 7)",124.62285583610584
"(2, 1, 0)",122.24257071924964
"(2, 1, 1)",125.24230546252468
"(2, 1, 2)",125.23748074040753
"(2, 1, 3)",125.56180001793321
"(2, 1, 4)",134.15341178092717
"(2, 1, 5)",134.92650651533165
"(2, 1, 6)",124.98848362275045
"(2, 1, 7)",122.38593152223685
"(3, 0, 0)",129.23670540667806
"(3, 0, 1)",124.3269595262486
"(3, 0, 2)",124.78324580109029
"(3, 0, 3)",124.43352405846757
"(3, 0, 4)",133.5879015817531
"(3, 0, 5)",122.79217207450817
"(3, 0, 6)",121.85659611391627
"(3, 0, 7)",121.43125827360575
"(3, 1, 0)",122.25466524501228
"(3, 1, 1)",125.22741561079279
"(3, 1, 2)",125.98010074264987
"(3, 1, 3)",126.17802798725265
"(3, 1, 4)",134.41519126555903
"(3, 1, 5)",134.1826115799405
"(3, 1, 6)",128.33002247544852
"(3, 1, 7)",124.05844069423641
"(4, 0, 0)",129.04999331407052
"(4, 0, 1)",124.32816983820464
"(4, 0, 2)",124.59500718650699
"(4, 0, 3)",134.35225761499487
"(4, 0, 4)",121.90635773539732
"(4, 0, 5)",121.61002281853476
"(4, 0, 6)",124.76179891699051
"(4, 0, 7)",120.94591050697913
"(4, 1, 0)",123.97362633851809
"(4, 1, 1)",125.25388329807284
"(4, 1, 2)",126.91746911308869
"(4, 1, 3)",127.17388257138853
"(4, 1, 4)",132.40991013652558
"(4, 1, 5)",123.91166388378926
"(4, 1, 6)",124.22246475373746
"(4, 1, 7)",124.04204302643565
"(5, 0, 0)",129.9011798544928
"(5, 0, 1)",124.37529848242752
"(5, 0, 2)",126.97526152608985
"(5, 0, 3)",121.09731315989457
"(5, 0, 4)",122.28512215799333
"(5, 0, 5)",125.98419572908801
"(5, 0, 6)",125.47694132144497
"(5, 0, 7)",124.47381035618811
"(5, 1, 0)",123.47818338749524
"(5, 1, 1)",125.17268565795045
"(5, 1, 2)",125.71529474060385
"(5, 1, 3)",125.71427740828682
"(5, 1, 4)",128.19407099310916
"(5, 1, 5)",118.0346741940169
"(5, 1, 6)",124.53368682201948
"(5, 1, 7)",124.49124384986109
"(6, 0, 0)",129.34414417695734
"(6, 0, 1)",129.70658184014093
"(6, 0, 2)",124.60398405311534
"(6, 0, 3)",120.87694584993578
"(6, 0, 4)",127.97084884548434
"(6, 0, 5)",115.53111937009105
"(6, 0, 6)",122.64331009328792
"(6, 0, 7)",126.66084729830412
"(6, 1, 0)",122.26626646761815
"(6, 1, 1)",125.19631491395384
"(6, 1, 2)",124.8939471698123
"(6, 1, 3)",121.35106240504747
"(6, 1, 4)",128.44573028878204
"(6, 1, 5)",117.89187910124046
"(6, 1, 6)",124.50740582979753
"(6, 1, 7)",125.32599225360266
"(7, 0, 0)",128.292237827051
"(7, 0, 1)",124.16154339822465
"(7, 0, 2)",125.82381258195115
"(7, 0, 3)",124.03659149112204
"(7, 0, 4)",140.069121852766
"(7, 0, 5)",123.88457539703107
"(7, 0, 6)",126.92004353744574
"(7, 0, 7)",128.50742092460692
"(7, 1, 0)",119.67155315199246
"(7, 1, 1)",119.02465833432605
"(7, 1, 2)",125.34719278026647
"(7, 1, 3)",117.59647055446047
"(7, 1, 4)",126.4471508315193
"(7, 1, 5)",118.05633975284354
"(7, 1, 6)",125.08553222986396
"(7, 1, 7)",125.02639690398047
